Year,Duration,Genre,Rating,Votes,Director
1999,175.0,"Drama, Romance",5.4,1445,Lawrence D'Souza
1953,130.0,Romance,5.1,13,Devendra Goel
1978,130.0,Romance,5.7,21,Unknown
1983,121.0,Drama,6.5,24,K.C. Agarwal
1961,148.0,"Family, Drama",6.8,32,Mohan Kumar
1981,130.0,Romance,5.8,107,J. Om Prakash
1957,171.0,"Comedy, Romance",6.5,23,M.V. Raman
1980,123.0,"Drama, Musical, Romance",5.3,199,J. Om Prakash
1983,121.0,Drama,6.5,24,Hari Atma
2010,120.0,Drama,7.1,1259,Nagesh Kukunoor
1986,121.0,Drama,2.6,11,Mahesh Bhatt
1974,122.0,"Crime, Drama, Romance",6.8,56,Syed Hussain
1993,121.0,Drama,5.2,299,Umesh Mehra
1962,150.0,Romance,6.7,64,Hrishikesh Mukherjee
2001,160.0,"Action, Drama, Romance",3.8,403,Indra Kumar
2005,115.0,"Drama, Romance, Thriller",4.3,1569,Aditya Datt
1977,136.0,Romance,5.5,85,J. Om Prakash
1995,124.0,Comedy,6.2,13,Ajay Kashyap
1990,152.0,"Musical, Drama, Romance",6.3,1661,Mahesh Bhatt
2013,132.0,"Drama, Music, Musical",7.0,27357,Mohit Suri
2011,109.0,"Drama, Romance",3.7,61,Shankhadeep
1968,146.0,Drama,7.3,203,Hrishikesh Mukherjee
2014,132.0,Drama,6.1,10,Sriparna Dey
2018,105.0,"Action, Crime, Drama",5.2,8,Sudipto Sen
2009,240.0,Drama,3.8,46,Rohit Krishnakant Nayyar
1952,134.0,"Drama, Family",6.3,21,Dalsukh M. Pancholi
1984,145.0,"Drama, Mystery",4.8,12,Tony Juneja
1965,172.0,Drama,5.5,6,Khwaja Ahmad Abbas
1992,88.0,"Adventure, Comedy, Romance",6.8,56,Pankaj Parashar
1993,150.0,Action,4.5,88,Mehul Kumar
1966,161.0,"Drama, Family",7.2,32,Satyen Bose
2016,137.0,Biography,6.3,11,Raj Sagar
2019,95.0,"Drama, Family, Romance",6.2,33,Dinesh Chaudhary
1997,132.0,Drama,6.4,172,Basu Bhattacharya
1996,113.0,"Action, Thriller",3.9,99,Prem Lalwani
1995,155.0,"Action, Crime, Drama",5.2,776,Dilip Shankar
1999,118.0,Action,5.1,16,R. Mittal
2006,167.0,"Action, Drama, Thriller",4.4,2166,Ramana
